Column1,short_description
309,पाकिस्तान कपड़ उद्योग जुड़ निर्यातक के मुताबिक कोरो काल उन्ह विदेश काफ ऑर्डर मिल 
145,ऑक्सफोर्ड कोविशील्ड भारत बायोटेक कोवैक्सीन मंज़ूर दी दोन के डेट सार्वजनिक नह ऐस चिं ज़ाहिर रह 
558,बूम पाय तस्वीर जून 2015 पाकिस्तान के मुल्तान प्रदर्शनकार नरेंद्र मोद पाक विरोध टिप्पण के 
380,अधिकार कह वैक्सीन के पहल तीस लाख डोज़ जल्द सार राज्य पहुंच दिए 
651,बूम पाय वीडिय 2011 शूट मोहाल पुलिसकर्म सिख प्रदर्शनकार पकड़ जबरदस् उसक पगड़ 
646,भारतीय ट्वीट पत्र फ़र्ज़ क़रार दिय बिपिन रावत के नाम वायरल 
422,बूम पत लग वायरल पोस्ट दिख रह तस्वीर दरअसल 2015 तस्वीर इरफ़ान शक्ल मॉर्फ़ करक बनाय गय 
47,बूम पाय वायरल तस्वीर एडिटिंग ऐप फ़ेसऐप इस्तेमाल करक बन गय है। 
701,राष्ट्रीय सुरक्ष एजेंस के अनुसार कथित एनजीओ ट्रस्ट अलगाव बढ़ाव दे के देश विदेश चंद जम रह 
279,कोरो के बदल रूप ख़बर आन के भारत समेत देश ब्रिटेन आन वाल उड़ान बैन दिय 
220,बूम पाय भुपलपल्ल ज़िल के कलेक्टर ना जज 
615,बिहार एनडीए पूर्ण बहुमत मिल गय सरकार बन के हलचल नह दिख रह क्य नीतीश कुमार पांच विकल्प विचार रह 
390,बीजेप अध्यक्ष जेप नड्ड कोलक के दिन के दौर प्रदेश सत्ताधार तृणमूल कांग्रेस के ख़िलाफ़ आक्रामक तेवर अपन उनक काफ़िल हमल घट सरगर्म बढ़ दी 
553,बूम पाय दोन तस्वीर एडिट किय गय है। पेशाब ना निर्देश दे वाल टेक्स्ट नह ना 
688,तेजस्व यादव सियासत विरासत मिल चिराग पासवान अखिलेश यादव तुल दूसर वारिस कित अलग 
434,बूम पत लग फ़ेसबुक शेयर किय ट्वीट स्क्रीनशॉट दरअसल फ़ैन पेज लिय गय सस्पेंडेड 
39,भारतीय वाय के प्रमुख एयर मार्शल आरकेएस भदौरिय कह स्वदेश लड़ाक विमान- तेजस बालाकोट जैस सर्जिकल स्ट्राइक बारीक अंज़ाम दे मददगार होग 
363,केंद्र जेप नड्ड के दौर सुरक्ष के ज़िम्मेदार तीन आईपीएस अधिकार डेपुटेशन दिल्ल बुल मम किय भेज इनकार 
140,बूम केंट रिफ्यूज एक्शन नेटवर्क संपर्क किय पुष्ट उनक आयोजन तस्वीर 17 अक्टूबर 
648,बूम पाय वीडिय 2017 मुंबई-पुण हाईव एक्सीडेंट के रूप वायरल 
579,ग़लत दाव किय गय बीमार नह कीटाण रोक चाह मास्क के सफ़ेद साइड पहन 
39,सोशल मीडिय वायरल दाव मा अहमदाबाद एयरपोर्ट नाम सरदार वल्लभभ पटेल अडा एयरपोर्ट गय । 
603,दिल्ल समेत उत्तर भारत के इलाक प्रदूषण हव घुल ज़हर क्य सिर्फ़ फ़सल पराल ज़िम्मेदार यासरकार इंतज़ाम नाकाफ़ 
689,तस्वीर दिख दे वाल शख्स विनय शर्म मामल वयस्क दोष ना नाबालिग है। 
362,बूम पाय प्रधानमंत्र आयुष्मान भारत लाभार्थ बात रह ना कोविड-19 मरीज़ 
322,बूम वायरल तस्वीर दिख रह भाजप विकास दुब संपर्क किय पाय दाव बेबुनियाद 
51,असम सरकार अवैध प्रवास घुसपैठ जुड़ मुद्द ले पुलिस कमेट ऐस बन प्रदेश विधानसभ चुनाव वाल 
188,सरकार प्रेस रिलीज़ के मुताबिक़ देशभर क़रीब 96000 वैक्सीन दे वाल इसक ट्रेन किय गय 
548,बूम पाय वायरल तस्वीर तीन साल पुरा शाहीन बाग़ नह है। 
203,आंदोलन रह किसान रविवार ताल थाल बज पीएम मोद के ‘मन बात’ कार्यक्रम विरोध किय 
583,बूम पाय कंबल वितरण अभियान संचालन यूप स्थित गैर सरकार संगठन द्वार किय गय जिसक आम आदम पार्ट 
453,मोद सरकार दिय पीछ हट के संकेत आक्रामक किसान संगठन 
464,हाल 2014 तस्वीर दाव शेयर रह मोद सरकार लॉकडाउन के अप प्रचार नह 
399,रूस के विदेश मंत्र सर्गेइ लवरोफ़ क्वाड गुट सख़्त टिप्पण के अख़बार सुर्ख़ 
58,बूम रवीश बात करक पत लग ऐस अपील नह 
241,बूम पाय सुप्रीम कोर्ट के लोग हमेश संस्कृत वाक्य यत धर्मस्तत जयः लिख 
355,भारत कोरो टीक कैस लग जाएग इसक बार सरकार दिशानिर्देश जार दिए 
330,बूम बैन किय 59 एप्प्स के विकल्प सूच बन नज़र डाल 
445,1955 डॉक्टर आंबेड बीबीस के महात्म गांध के अप संबंध बात आंबेड पुण्यतिथ विशेष 
672,दिल्ल पुलिस बूम पुष्ट तस्वीर दिख दे वाल शख़्स दिल्ल पुलिस के सिपाह अरविंद कुमार है। 
752,बीएआरस टीव चैनल टीआरप निलंबित कार्टून 
56,दाव किय रह भाजप किसान आंदोलन के कारण फूट पड़ 
276,प्रधानमंत्र नरेंद्र मोद नई दिल्ल स्थित नेशनल वॉर मेमोरियल पहुंच 1971 युद्ध हिस्स ले वाल जवान श्रद्धांजल दी 
620,बूम पाय वीडिय नवंबर 2019 किसान कथित तौर जमीन के मुआवज़ मिल विरोध किय था। 
546,बूम पाय वीडिय हेनान प्रांत ची स्वाट टीम द्वार मॉक ड्रिल है। 
432,बूम पाय असल घट अप्रैल 3 2020 बांग्लादेश के सिलहट जह स्थानीय ज़रूरतमंद हिंद 
473,पाकिस्तान तमिल समुदाय बंटवार के वक़्त तमिलनाड कराच बस गय 
121,किसान 26 जनवर दिल्ल के राजपथ ट्रैक्टर परेड तैयार रह हरियाण के जींद महिल किसान ट्रैक्टर-ट्रॉल चल ट्रेनिंग ले रह 
744,बूम पाय टीवी9 दिए इंटरव्य वो अप भाई द्वार किय भद्द बात अफ़सोस घृण रह 
180,दिल्ल अलग-अलग सीम अप माँग ले प्रदर्शन रह किसान आख़िर नय साल क्य उम्मीद रख 
567,बूम पाय वीडिय भुवनेश्वर नगर निगम द्वार अवैध अतिक्रमण के ख़िलाफ चल निष्कासन अभियान हिस्स है। 
29,सोशल मीडिय दाव मा गुरुद्वार समित जानबूझ गलीच हट ताक प्रधानमंत्र ठण्ड नीच चल पड़ 
270,बूम पाय तस्वीर 2018 मामल किड पथर निकलव आय मरीज़ के परिवार डॉक्टर किड 
583,भारत के विदेश मंत्रालय पाकिस्ता राजदूत बुल पाकिस्ता बल द्वार निर्दोष नागरिक जानबूझ निश बन कड़ शब्द निंद 
467,रणजीत सिंह डिसल पुरस्कार जीत घोषण दी वो इसक आध राश बाक़ शिक्षक के बांट 
114,बूम पाय वीडिय पुर 24 जनवर 2019 युवक फ़्लाइट प्रार्थ ले विवाद ‘अल्लाह अकबर’ 
614,अर्नब गोस्वाम बी बुधवार 4 नवंबर मुंबई उन्ह उनक घर गिरफ़्तार किय गय 
425,किसान आंदोलन शामिल किसान संगठन हर रोज़ रिव्य मीटिंग के आपस अप समन्वय मज़बूत 
160,जैक मा शंघ अक्टूबर के अंत फोरम के सार्वजनिक तौर नह दिख दिए 
467,हालांक वायर एजेंस अप ट्वीट डिलीट करक भूल-सुधार जार दिय लोग गलत ट्वीट 
124,बूम पाय वायरल पोस्ट दाव फ़र्ज़ तस्वीर मृत व्यक्त गुजरात पप्प शुक्ल नह बल्क यमन इस्माइल 
198,बूम पाय वायरल तस्वीर 2017 राजस्थान के सी किसान प्रदर्शन 
114,सोमवार केरल हिमाचल प्रदेश राजस्थान बात पुष्ट दी उनक बड़ पैम पक्ष मौत वजह बर्ड फ्ल 
507,भारत-चीन सीम नह बन बात स्टेन स्वाम कह माओवाद नह के अख़बार सुर्ख 
678,बूम दारुल उलूम के वाईस चांसलर बत दाव फ़र्ज़ जिसक दारुल उलूम सम्बन्ध नह 
79,सुप्रीम कोर्ट कृष क़ानून विभिन्न पक्ष सुन ज़मी स्थित जायज ले के समित गठन किय 
16,भारत रूस के रिश्त बढ़ अटकल के रूस विदेश मंत्र सर्गेइ लवरोव सोमवार कह रूस के भारत ख़ास 
520,बूम दिल्ल के डॉ राम मनोहर लोहिय अस्पताल सफदरजंग अस्पताल संपर्क किया। दोन अस्पताल ऐस मरीज़ 
13,हिंदुस्तान ज़मीन हज़ार मील ऑस्ट्रेलिय धर जैस बी महीन जीवन पूर सार लिख दिय गय 
265,ब्रिटेन न्यूज़ चैनल के ब्रॉडकास्ट अधिकार रख वाल कंप क़रीब 20 लाख रुपय जुर्म लग गय 
510,भारत के विदेश सचिव के लौट के ठीक दिन चीन के रक्ष मंत्र नेपाल पहुंच 
553,पाकिस्तान अदालत प्रतिबंधित संगठन जमात-उद-दाव के मुखिय हाफ़िज़ सईद साढ़ 10 साल क़ैद सज़ सुन 
670,राजधा दिल्ल बी दिन रोज़ संक्रमण के मामल 5 हज़ार के आ रह रोज़ नय रिकॉर्ड बन रह 
211,आंदोलन रह किसान रविवार ताल थाल बज पीएम मोद के ‘मन बात’ कार्यक्रम विरोध किय 
526,कोयंबटूर पुलिस ख़बर फ़र्ज़ बत है। पुलिस के मुताबिक शेयर वाल हैंडल पत लग कोशिश रह 
519,आसियान देश के मुक्त व्यापार समझौ आरसीईप रीजनल कॉम्प्रिहेंसिव इकोनॉमिक पार्टनरशिप विश्व सबस बड़ व्यापार समझौ कह रह 
102,चावल पक के उबाल नह पड़ बस देर पा रख के खा के तैयार 
427,वायरल पोस्ट दाव किय गय हमल पालघर लिंचिंग प्रेरित था। बूम होशियारपुर पुलिस सम्पर्क पत 
310,अमेरिक भारतीय मूल के प्रसिद्ध लेखक बुद्धिजीव फ़रीद ज़करिय ख़ास बातचीत बीबीस संवादद ज़ुबैर अहमद 
575,बूम पाय मतद जानकार नाम वाल शख़्स जामिय शूटर संबंधित नह 
711,अधिकतर पोस्ट छात्र मुफ़्तखोर आश्रित बत रह महिल के प्रत फैल रह द्वेष झूठ 
716,बूम पत लग सक्षम पीड़ित सुखराम मेघवाल लोग चोर के आरोप पीट 
61,दाव किय रह किसान आंदोलन ख़ालिस्तान मूवमेंट आपस जुड़ 
387,पूर देश न्यूनतम समर्थन मूल्य धान ख़रीद के छत्तीसगढ़ सबस अधिक भुगतान राज्य सरकार किसान प्रत एकड़ 15 क्विंटल धान ख़रीद 
679,भारत आधिकारिक अपराध डेट पीड़ित बलात्कार दोन के धर्म डेट एकत्र नह है। 
92,बूम पाय वायरल तस्वीर अक्टूबर 2019 ली गय अशोक गेहलोत दिवाल मन 
668,अभियुक्त पुलिसकर्म अविनाश राय नौकर बर्खास्त दिय गय मामल जाँच रह 
618,पार्ट 27 उम्मीदवार वायरल सूच खंडन किय सांप्रदायिक कोण दिय रह 
597,केंद्र सरकार इंटरनेट फ़िल्म समाचार ऑडियो-विज़ुअल सामग्र दे वाल डिजिटल प्लेटफ़ॉर्म्स सूच प्रसारण मंत्रालय के अंतर्गत ला आदेश जार किय क्य इसक माय 
40,हालिय किसान प्रदर्शन के तस्वीर दाव के वायरल प्रधानमंत्र गौतम अडा पत् झुक प्रणाम 
284,ब्रिटेन पाए कोरो वायरस के नए वैरिएंट के मद्देनज़र भारत समेत कनाड आयरलैंड जर्म फ्रांस इटल नीदरलैंड्स बेल्जियम जैस तकरीबन 10 देश उड़ान रद्द फैसल लिय 
75,सोशल मीडिय दाव किय गय तस्वीर दिख रह किसान दिल्ल के डेर डाल 
511,वीडिय झूठ दाव के शेयर किय रह मुंबई के पास लोनावल मुस्लिम वेंडर पकड़ गय लीच 
550,पाकिस्तान प्रशासित कश्मीर रह वाल लोग ग़ल एलओस पार उनक घरवाल बरस उनक वापस आस लग बैठ 
11,ब्रिसबेन के गाब मैदान टेस्ट मैच इतिहास दर्ज चुक के भारत सिरीज़ अप नाम 
551,टेस्क सेंसबर मार्क्स एंड स्पेंसर रॉल्फ़ लॉरेन जैस ब्रांड कपड़ सप्ल वाल फ़ैक्ट्र के कर्मचार लग शोषण के आरोप 
748,बूम पाय वरिष्ठ पत्रकार कुमार के नाम वायरल रह बयान मुर्शिदाबाद ट्रिपल मर्डर के सोशल मीडिय घूम 
247,बूम पाय वीडिय आंध्र प्रदेश इसम दिख रह लोग आरएसएस संबंधित नह । 
682,बूम पाय वायरल तस्वीर बांग्लादेश के चिटगॉन्ग ईद-ए-मिलाद के मौक निकाल जुलूस के शूट 
743,भीलवाड़ पुलिस घट के पीछ सांप्रदायिक कारण साफ़ इनकार किय 
164,सिविकस रिपोर्ट कंबोडिय थाईलैंड श्रीलंक वियतनाम ज़िक्र किय गय के हालात ले चिं ज़ाहिर आम लोग बेवजह निश बन गय कठोर यात दी गईं 
451,भारत आंदोलन रह किसान के समर्थन कनाड के प्रधानमंत्र जस्टिन ट्रूड बार बयान दिय प्रेस कॉन्फ्रेंस उनस भारत संबंध ले सवाल किय गय 
757,बूम मेरठ पुलिस बात बत मुज़फ़्फ़रनगर गिरोह काफ दिन एटीएम गैस कटर मदद लूट 
186,बूम पाय घट आंध्र प्रदेश के प्रकाशम ज़िल लड़क के उसक एक्स बॉयफ्रेंड बदतमीज़ । 
156,बूम पाय फ़ोट 12 दिसंबर 2013 ली गय मेक्सिकन बिल विरोध रह ना भ्रष्टाचार के ख़िलाफ़ 
724,बूम पाय खान के जन्मदिन के दिन लाइट शो के बार लेख परन्त उसम पैस उधार बात नह 
312,बूम हेम मालि बात अफवाह ख़ारिज किय 
8,दाव कोविड-19 के टीक लिंग लग वायरस जल्द राहत मिल 
454,सुप्रीम कोर्ट महिल के समूह याचिक दायर करक मुसलमान समुदाय अधिक शाद चुनौ दी पढ़ के अख़बार प्रमुख सुर्ख़ 
630,अमेरिक के राष्ट्रपत उप-राष्ट्रपत चु बाइडन कमल हैरिस देश के बध दे रह 
513,बूम आजतक के वीडिय लंब वर्शन पाय जिसस पत चल वीडिय क्रॉप ग़लत सूच फैल रह है। 
292,पाकिस्तान के पूर्व क्रिकेटर शोएब अख़्तर भारतीय टीम ले वीडिय जार किय 
34,किसान संघर्ष समित आरोप सरकार के इशार लोग आंदोलन हिंसक बन चाह 
712,बूम पाय लेख सबस पहल व्यंग मनोरंजक वेबसाइट प्रकाशित जिसक सच मा रह 
153,साल 2020 कोविड-19 के ख़िलाफ़ जंग फ़्रंटलाइन रह डॉक्टर्स स्वास्थ्यकर्म वायरस संक्रमित उनम कइय मौत 
298,धुंधल याद थक मन माँ बार देख इच्छ गी चल चल रह 
68,भारत वैक्सीन सप्ल कार्टून 
649,बूम दिल्ल पुलिस बात कह वीडिय दिख रह राकेश त्याग साल पहल पुलिस सेवानिवृत्त गए। 
428,बीबीस ख़ास बातचीत जम्मू-कश्मीर पूर्व मुख्यमंत्र महबूब मुफ़् डीडीस चुनाव ले अनुच्छेद 370 अप बात रख 
321,उत्तर प्रदेश के संभल ज़िल किसान शांत भंग आशंक के कारण 50 लाख रुपय के बॉन्ड भर संबंध नोटिस जार किय गय 
482,वायरल मैसेज फ़र्ज़ बॉम्ब कोर्ट द्वार दिए निर्णय ग़लत व्याख्य दी है। 
704,बूम पाय तस्वीर नाइजीरिय जह पादर अप बहन मानव कंकाल रख 
580,हाल भारत ऑनलाइन न्यूज़ ओटीट प्लेटफॉर्म्स सेंसरशिप लाग फैसल लिय 
328,हालांक लोग दिल्ल सीम प्रदर्शन वाल किसान के शामिल नह 
688,बूम पाय कांग्रेस के नाम ग़लत बयान फैल रह है। अप टिप्पण सीएब के ख़िलाफ़ बात थी। 
195,बूम पाय पिछल साल मुंबई दिए उनक भाषण तोड़-मरोड़ पेश किय गय 
729,अनुराग कश्यप यौन शोषण आरोप लग के मामल ऋच चड्ढ पायल घोष क़ानू नोटिस भेज 
349,संसद के शीत सत्र के ना ख़बर कार्टून 
557,बूम पाय दाव झूठ तीन अलग-अलग वीडिय जोड़ वीडिय बन गय है। 
687,आर्टिकल 370 हट कोरो वायरस लॉकडाउन के कश्मीर सेब उद्योग दोबार खड़ तैयार 
341,बिहार पिछल मही संपन्न विधानसभ चुनाव एनडीए सत् आन बिहार मुफ़्त कोरो वैक्सीन लग वाद किय 
742,बूम पाय प्रदर्शन कमलेश तिवार द्वार बन हिन्द समाज पार्ट के कार्यकर्त किय 
489,बूम पाय भारतीय दाव ग़लत बत है। दाव के इस्तेमाल तस्वीर पुरा भारत 
281,बेंगलुर मुसलमान कारोबार मंदिर के अप ज़मीन दे दी एचएमज बाश के कदम काफ़ सराह रह 
439,गूगल आरोप लग रह वो भारतीय बाज़ार अप प्रभुत्व दुरुपयोग रह जानकार के मुताबिक इसस भारतीय इंटरनेट उद्योग गंभीर असर पड़ सक 
549,राष्ट्रीय बाल अधिकार संरक्षण आयोग के सहयोग देश पहल जुवेनाइस पुलिस डिवीज़न त्रिच खोल गय 
527,दाव शाहीन बाग़ महिल पैस दिए रह बूम पाय वीडिय फ़रवर 28 वितरित गय सहाय राश के 
559,बाघ महाराष्ट्र तेलंग के सात ज़िल 3000 किम यात्र फ़िलहाल मिल गय नय ठिक 
147,भारत तनाव के ची राष्ट्रपत शी जिनपिंग तैनात शक्त अप पास ले ली 
401,बूम जयपुर अधिकारीय बात करक पत लग खबर फ़र्ज़ 
537,पाकिस्तान छप वाल उर्द अख़बार हफ़् चीन-पाकिस्तान आर्थिक कॉरिडोर क़ुरैश के बयान इमरान ख़ान के अफ़ग़ानिस्तान दौर विपक्ष महागठबंधन जुड़ ख़बर मिल सबस ज़्याद सुर्ख़ 
58,पाकिस्तान के हज़ार मुसलमान काफ़ निश बन रह हज़ार कह आए पाकिस्तान 
361,ऑपरेशन के परिवार उम्मीद बच्च दूसर बच्च खेल-कूद बाक़ गतिविध हिस्स ले सक 
728,आईएमएफ़ अनुमान प्रत व्यक्त जीडीप आन वाल दिन बांग्लादेश भारत पीछ छोड़ आग जाएग आखिर ऐस कैस होग 
564,लक्ष्म विलास बैंक लिमिटेड आर्थिक स्थित लगातार गिरावट बी तीन साल ज़्याद बैंक लगातार घाट रह इसस इसक नेटवर्थ घट 
683,केंद्र सरकार ओर लाए तीन नए कृष क़ानून निष्प्रभाव के पंजाब विधानसभ तीन नए कृष विधेयक पारित 
725,बूम पाय आजतक द्वार ऐस शो नह किय गय जिसम चैनल समाचार दिय ऐस घट नह 
693,बूम पाय वायरल तस्वीर हिंद अखबार दैनिक पूर्वोदय द्वार प्रकाशित तथ्य जांच लेख केवल हिस्स 
335,गुलाब गेंद वाल डे-नाइट टेस्ट मैच कप्ता विराट कोहल टेस्ट मैच के वो भारत लौट क्योंक वो पि बन वाल 
408,9 दिसंबर सोनिय गांध जन्मदिन ट्विटर सोशल मीडिय उनक काफ़ चर्च रह पढ़ विशेष लेख 
610,बिहार के साथ-साथ राज्य उपचुनाव भारतीय जन पार्ट अच्छ प्रदर्शन किय 11 राज्य 58 विधानसभ सीट चुनाव के नतीज आ 
657,बूम पाय वीडिय वायरल के तुरंत 2018 लड़क अप परिवार के पास वापस पहुंच थी। 
